condition,ra,n_bis,inclusion_code,immediacy_code,bi_desc,principal_beneficiaries,reasoning
1356078;inc_uni_adv-ext_int_dir-b,2,2,universal,intrinsic,The project developed and released open source bioinformatics tools for the research and education community.,"Researchers and educators in bioinformatics and related fields, inferred from the open source release.","The open source release of bioinformatics tools benefits a wide range of researchers and educators, making it a universal broader impact."
1356078;inc_uni_adv-ext_int_dir-b,2,2,inclusive,direct,The project supported several undergraduate and high-school students in their summer research experiences.,"Undergraduate and high-school students, explicitly mentioned.","Supporting students in research experiences benefits their education and career development, making it an inclusive broader impact."
1356117;adv_inc_uni-ext_int_dir-c,1,2,inclusive,extrinsic,"The meeting supported participants from countries with limited financial resources and provided grants to students, postdocs, and junior faculty, including women.","Participants from countries with limited financial resources, students, postdocs, junior faculty, and women.",The broader impact focuses on providing financial support to underrepresented groups in academia and participants from financially constrained countries.
1356117;adv_inc_uni-ext_int_dir-c,1,2,advantaged,intrinsic,The meeting brought together physicists and mathematicians to foster collaboration and advance research in group theoretical methods.,Physicists and mathematicians.,"The broader impact is the collaboration and advancement of research, primarily benefiting scientists."
1356117;adv_inc_uni-ext_int_dir-c,2,1,inclusive,extrinsic,"The meeting supported the attendance of students, postdocs, junior faculty, and participants from countries with limited financial resources.","Students, postdocs, junior faculty, and participants from financially limited countries.",The broader impact focuses on providing financial support to underrepresented groups in academia and participants from countries with limited resources.
1356117;uni_adv_inc-dir_ext_int-a,1,1,inclusive,extrinsic,"The meeting supported participants from countries with limited financial resources and provided NSF grants to US students, postdocs, and junior faculty, including women.","Participants from countries with limited financial resources, US students, postdocs, and junior faculty, including women.","The broader impact includes financial support for underrepresented groups in academia and participants from financially constrained countries, making it inclusive."
1356117;uni_adv_inc-dir_ext_int-a,2,2,inclusive,direct,"The meeting brought together international top researchers from diverse backgrounds to discuss group theoretical or algebraic methods, with attention to supporting participants from countries with limited financial resources.","International top researchers, students, postdocs, junior faculty, and participants from countries with limited financial resources.",The broader impact includes both the advancement of scientific collaboration and support for underrepresented groups in the scientific community.
1356117;uni_adv_inc-dir_ext_int-a,2,2,inclusive,direct,"The NSF grants supported US participants, including students, postdocs, junior faculty, and women.","US students, postdocs, junior faculty, and women.",The broader impact focuses on providing financial support to underrepresented groups in STEM fields.
1356117;uni_inc_adv-dir_int_ext-b,1,2,inclusive,extrinsic,"The meeting brought together international top researchers from different backgrounds to discuss group theoretical or algebraic methods, and supported participants from countries with limited financial resources.","Researchers from countries with limited financial resources, students, postdocs, and junior faculty.","The broader impact includes supporting researchers from financially limited countries and early-career scientists, which aligns with inclusive broader impacts."
1356117;uni_inc_adv-dir_int_ext-b,1,2,advantaged,direct,"The meeting facilitated the attendance of 32 students and many young postdocs, promising for the future of the field.",Students and young postdocs.,"The broader impact is focused on training and supporting early-career researchers, which is a direct benefit of the research activities."
1356117;uni_inc_adv-dir_int_ext-b,2,2,inclusive,direct,"The meeting brought together international top researchers from different backgrounds to discuss group theoretical or algebraic methods, with attention to supporting participants from countries with limited financial resources.","International researchers, particularly those from countries with limited financial resources.",The broader impact focuses on fostering international collaboration and supporting researchers from financially limited countries.
1356117;uni_inc_adv-dir_int_ext-b,2,2,inclusive,direct,"The meeting included 8 NSF-grants for US participants, granted to students, postdocs, and junior faculty, including 2 women.","US students, postdocs, junior faculty, and women in STEM.","The broader impact is on supporting early-career researchers and women in STEM, which aligns with inclusive broader impacts."
1356118;adv_uni_inc-ext_dir_int-b,1,1,universal,intrinsic,"The project provided insights into the nuances of gender differences, the critical role of working memory, and the differential impact of schooling on the brain and behavior.","The primary beneficiaries are educators, policymakers, and researchers interested in child development and education.","The insights gained from this research can inform educational practices and policies, potentially benefiting a wide range of stakeholders involved in child development and education."
1356118;adv_uni_inc-ext_dir_int-b,2,1,universal,intrinsic,"The project provided insights into the nuances of gender differences, the critical role of working memory, and the differential impact of schooling on the brain and behavior.","The primary beneficiaries are children, educators, and policymakers, inferred from the focus on academic development and schooling experiences.","The broader impact is universal because it aims to benefit children and educational practices broadly, and it is intrinsic because the research directly informs educational strategies and understanding of child development."
1356118;inc_adv_uni-int_dir_ext-a,1,2,universal,intrinsic,"The project provided insights into gender differences in self-regulation, the critical role of working memory, and the differential impact of schooling on brain and behavior.","Educators, policymakers, and researchers interested in child development and education.","The broader impact is universal as it provides valuable information that can be used to improve educational practices and policies, benefiting a wide range of stakeholders."
1356118;inc_adv_uni-int_dir_ext-a,1,2,universal,intrinsic,The project involved conducting brain research directly in schools using portable EEG equipment and developed a child-friendly version of a classic Go/NoGo task.,Children and educational researchers.,The broader impact is universal as it directly involves children in research and provides tools that can be used in educational settings.
1356118;inc_adv_uni-int_dir_ext-a,2,2,universal,intrinsic,"The project provided insights into the nuances of gender differences, the critical role of working memory, and the differential impact of schooling on the brain and behavior.","The primary beneficiaries are educators, policymakers, and researchers interested in child development and education.","The findings can inform educational practices and policies, potentially benefiting a wide range of stakeholders involved in early childhood education."
1356118;inc_adv_uni-int_dir_ext-a,2,2,universal,intrinsic,The project involved conducting brain research directly in schools using portable EEG equipment and developed a child-friendly version of a classic Go/NoGo task.,The primary beneficiaries are school children and educational researchers.,The innovative methods used in the study directly benefit children and researchers by providing new tools and data for understanding self-regulation.
1356118;uni_adv_inc-ext_dir_int-c,1,1,universal,intrinsic,"The project provided insights into the nuances of gender differences, the critical role of working memory, and the differential impact of schooling on the brain and behavior.","The primary beneficiaries are educators, policymakers, and researchers interested in child development and education.","The insights gained from this research can inform educational practices and policies, benefiting those involved in the education sector."
1356118;uni_adv_inc-ext_dir_int-c,2,1,universal,intrinsic,"The project provided insights into the nuances of gender differences, the critical role of working memory, and the differential impact of schooling on the brain and behavior.","The primary beneficiaries are educators, policymakers, and researchers interested in child development and education.","The broader impact is related to improving educational practices and policies, which can benefit a wide range of stakeholders involved in education."
1356381;adv_inc_uni-int_dir_ext-b,1,5,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.",Taxonomists,"The primary beneficiaries are taxonomists who will directly benefit from the new process and tools developed, which are aimed at improving their work."
1356381;adv_inc_uni-int_dir_ext-b,1,5,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,Taxonomists,"The manual is intended to help taxonomists adopt new approaches, making them the primary beneficiaries."
1356381;adv_inc_uni-int_dir_ext-b,1,5,advantaged,direct,"These results were published as peer-reviewed, empirical research papers, and as the project came to a close, several other publications remained in the pipeline.",Scientific community,"The publications contribute to the scientific literature, benefiting the broader scientific community."
1356381;adv_inc_uni-int_dir_ext-b,1,5,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,Taxonomists,"The semantic data serve as examples and proof of concept, directly benefiting taxonomists."
1356381;adv_inc_uni-int_dir_ext-b,1,5,advantaged,direct,"The new user interface and improved taxonomy software, combined with clearly written documentation and myriad example data and proofs of concept, provide the core building blocks for a much needed change in the way taxonomists generate phenotype data.",Taxonomists,The new tools and documentation are designed to improve the work of taxonomists.
1356381;adv_inc_uni-int_dir_ext-b,2,5,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.",Taxonomists,The primary beneficiaries are taxonomists who will directly use the new processes and tools developed by the project.
1356381;adv_inc_uni-int_dir_ext-b,2,5,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,Taxonomists,The primary beneficiaries are taxonomists who will use the manual to incorporate new approaches into their work.
1356381;adv_inc_uni-int_dir_ext-b,2,5,advantaged,direct,"These results were published as peer-reviewed, empirical research papers, and as the project came to a close, several other publications remained in the pipeline, close to submission for peer-review and publication.",Scientific community,The primary beneficiaries are the scientific community who will have access to the published research findings.
1356381;adv_inc_uni-int_dir_ext-b,2,5,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,Taxonomists,The primary beneficiaries are taxonomists who will use the new semantic data as examples and proof of concept.
1356381;adv_inc_uni-int_dir_ext-b,2,5,advantaged,direct,"The new user interface and improved taxonomy software, combined with clearly written documentation and myriad example data and proofs of concept, provide the core building blocks for a much-needed change in the way taxonomists generate phenotype data - one that makes descriptive statements more explicit and accessible to science outside of taxonomy.",Taxonomists and broader scientific community,The primary beneficiaries are taxonomists and the broader scientific community who will benefit from more explicit and accessible phenotype data.
1356381;inc_adv_uni-dir_int_ext-a,1,4,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.",The primary beneficiaries are taxonomists who will incorporate the new process into their projects.,"The broader impact primarily benefits taxonomists, who are considered an advantaged group within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,1,4,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,The primary beneficiaries are taxonomists who will use the written manual.,"The broader impact benefits taxonomists, who are considered an advantaged group within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,1,4,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,The primary beneficiaries are taxonomists and computational researchers who will use the new semantic data.,"The broader impact benefits taxonomists and computational researchers, who are considered advantaged groups within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,1,4,universal,intrinsic,"The new user interface and improved taxonomy software, combined with clearly written documentation and myriad example data and proofs of concept, provide the core building blocks for a much needed change in the way taxonomists generate phenotype data - one that makes descriptive statements more explicit and accessible to science outside of taxonomy.",The primary beneficiaries are taxonomists and the broader scientific community.,"The broader impact benefits taxonomists and potentially the broader scientific community, making it a universal benefit."
1356381;inc_adv_uni-dir_int_ext-a,2,4,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.",The primary beneficiaries are taxonomists who will incorporate the new process into their projects.,"The broader impact primarily benefits taxonomists, who are considered an advantaged group within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,2,4,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,The primary beneficiaries are taxonomists who will use the written manual to incorporate new approaches.,"The broader impact primarily benefits taxonomists, who are considered an advantaged group within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,2,4,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,The primary beneficiaries are taxonomists and computational scientists who will use the new semantic data.,"The broader impact primarily benefits taxonomists and computational scientists, who are considered advantaged groups within the scientific community."
1356381;inc_adv_uni-dir_int_ext-a,2,4,advantaged,direct,"The new user interface and improved taxonomy software, combined with clearly written documentation and myriad example data and proofs of concept, provide the core building blocks for a much needed change in the way taxonomists generate phenotype data - one that makes descriptive statements more explicit and accessible to science outside of taxonomy.",The primary beneficiaries are taxonomists and potentially other scientists who will use the new interface and software.,"The broader impact primarily benefits taxonomists and potentially other scientists, who are considered advantaged groups within the scientific community."
1356381;uni_inc_adv-int_ext_dir-c,1,3,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.","The primary beneficiaries are taxonomists, as explicitly mentioned in the text.","The broader impact is aimed at improving the tools and methods used by taxonomists, who are considered an advantaged group."
1356381;uni_inc_adv-int_ext_dir-c,1,3,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,"The primary beneficiaries are taxonomists, as explicitly mentioned in the text.","The creation of a manual to help taxonomists adopt new approaches directly benefits the taxonomist community, an advantaged group."
1356381;uni_inc_adv-int_ext_dir-c,1,3,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,"The primary beneficiaries are taxonomists, as explicitly mentioned in the text.","Providing new semantic data as examples for taxonomists directly benefits the taxonomist community, an advantaged group."
1356381;uni_inc_adv-int_ext_dir-c,2,4,advantaged,direct,"The broader impacts of this award were focused on outreach to more than twenty other taxonomists who were willing to incorporate this new process into their projects, with the intention of building a corpus of data and experiences that will help catalyze a broader integration of these novel descriptive approaches.","The primary beneficiaries are taxonomists, as explicitly mentioned in the report.","The broader impact primarily benefits taxonomists, who are considered an advantaged group within the scientific community."
1356381;uni_inc_adv-int_ext_dir-c,2,4,advantaged,direct,The results of numerous virtual and face-to-face meetings were incorporated into a written manual on how and why to incorporate new approaches to representing phenotypes into the taxonomic process.,"The primary beneficiaries are taxonomists, as explicitly mentioned in the report.","The creation of a manual to help taxonomists incorporate new approaches directly benefits taxonomists, an advantaged group."
1356381;uni_inc_adv-int_ext_dir-c,2,4,advantaged,direct,"These results were published as peer-reviewed, empirical research papers, and as the project came to a close, several other publications remained in the pipeline, close to submission for peer-review and publication.","The primary beneficiaries are the scientific community, particularly those involved in taxonomy and related fields.","Publishing research papers primarily benefits the scientific community, which is an advantaged group."
1356381;uni_inc_adv-int_ext_dir-c,2,4,advantaged,direct,These new semantic data are available as examples for other taxonomists and for computation as a 'proof of concept' that the approach contributes data with substantially more value and efficiency than the legacy approach to describing species.,The primary beneficiaries are taxonomists and computational biologists.,"Providing new semantic data as examples benefits taxonomists and computational biologists, both of which are advantaged groups."
1356440;adv_inc_uni-int_ext_dir-b,1,4,inclusive,intrinsic,"The program provides scholarships, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, particularly underrepresented groups such as women and minorities.","The broader impact is inclusive because it targets economically disadvantaged and underrepresented groups, and it is intrinsic because the support provided is central to the main goal of improving retention and graduation rates in Mechanical Engineering."
1356440;adv_inc_uni-int_ext_dir-b,1,4,inclusive,intrinsic,The cooperative relationship between UMBC and local community colleges has improved the transfer process and increased the number of students transferring to the Mechanical Engineering program at UMBC.,Students transferring from local community colleges.,"The broader impact is inclusive as it benefits students from community colleges, who are often from underrepresented or marginalized backgrounds, and it is intrinsic because the transfer process improvement is central to the program's goals."
1356440;adv_inc_uni-int_ext_dir-b,1,4,inclusive,intrinsic,The program has contributed to an increase in the enrollment of female and Hispanic students in the Mechanical Engineering department at UMBC.,Female and Hispanic students.,"The broader impact is inclusive as it specifically benefits female and Hispanic students, and it is intrinsic because increasing diversity is a core objective of the program."
1356440;adv_inc_uni-int_ext_dir-b,1,4,universal,extrinsic,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations and presentations to community college students and faculty, as well as high school students and their teachers.","Scientific community, community college students and faculty, high school students and teachers.","The broader impact is universal as it benefits a wide range of groups, including the scientific community and educational institutions, and it is extrinsic because these activities are separate from the main research goals."
1356440;adv_inc_uni-int_ext_dir-b,2,5,inclusive,intrinsic,"The program provides scholarships, academic intervention, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, especially women and underrepresented minorities.","The broader impact is inclusive as it targets economically disadvantaged and underrepresented groups, and it is intrinsic because the support provided is central to the main goal of improving student retention and graduation rates in Mechanical Engineering."
1356440;adv_inc_uni-int_ext_dir-b,2,5,inclusive,intrinsic,The cooperative relationship between UMBC and local community colleges has improved the transfer process and increased the number of students transferring to the Mechanical Engineering program at UMBC.,Students transferring from local community colleges.,"The broader impact is inclusive as it specifically benefits students transferring from community colleges, and it is intrinsic because the improved transfer process is essential to the main goal of increasing student enrollment and success in Mechanical Engineering."
1356440;adv_inc_uni-int_ext_dir-b,2,5,inclusive,intrinsic,The program has contributed to an increase in the enrollment of female and Hispanic students in the Mechanical Engineering department at UMBC.,Female and Hispanic students in the Mechanical Engineering department.,"The broader impact is inclusive as it aims to increase the enrollment of underrepresented groups, and it is intrinsic because this increase is a direct result of the program's targeted recruitment and support strategies."
1356440;adv_inc_uni-int_ext_dir-b,2,5,universal,direct,"The successful strategies of the program, such as targeted recruitment, proactive mentoring, and integration of research in education, can be adopted by other institutions.",Other educational institutions and their students.,"The broader impact is universal as it can benefit any institution that adopts these strategies, and it is direct because the dissemination of successful strategies flows directly from the research outcomes."
1356440;adv_inc_uni-int_ext_dir-b,2,5,advantaged,direct,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations, and the PI and co-PIs have presented the research results at several national and international conferences.",Scientific community and conference attendees.,"The broader impact is advantaged as it primarily benefits the scientific community through dissemination of research findings, and it is direct because these activities are directly related to the research outcomes."
1356440;inc_adv_uni-dir_int_ext-c,1,4,inclusive,intrinsic,"The program provides scholarships, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","The primary beneficiaries are explicitly mentioned as economically disadvantaged and underrepresented students, making the broader impact inclusive."
1356440;inc_adv_uni-dir_int_ext-c,1,4,inclusive,intrinsic,The cooperative relationship between UMBC and local community colleges has improved the transfer process and increased the number of students transferring to the four-year Mechanical Engineering program at UMBC.,Students transferring from local community colleges to UMBC.,"The primary beneficiaries are students transferring from community colleges, which can include underrepresented groups, making the broader impact inclusive."
1356440;inc_adv_uni-dir_int_ext-c,1,4,inclusive,intrinsic,The program has contributed to an increase in the enrollment of female and Hispanic students in the Mechanical Engineering department at UMBC.,Female and Hispanic students in the Mechanical Engineering department at UMBC.,"The primary beneficiaries are explicitly mentioned as female and Hispanic students, making the broader impact inclusive."
1356440;inc_adv_uni-dir_int_ext-c,1,4,inclusive,extrinsic,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations and presentations to community college students and faculty, as well as high school students and their teachers.","Community college students and faculty, high school students and their teachers.","The primary beneficiaries are community college and high school students and faculty, which can include underrepresented groups, making the broader impact inclusive."
1356440;inc_adv_uni-dir_int_ext-c,2,5,inclusive,intrinsic,"The program provides scholarships, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, particularly women and underrepresented minorities.","The broader impact focuses on providing support to marginalized groups in STEM, specifically in Mechanical Engineering."
1356440;inc_adv_uni-dir_int_ext-c,2,5,inclusive,intrinsic,The program improves the transfer process and increases the number of students transferring from local community colleges to the Mechanical Engineering program at UMBC.,Students transferring from local community colleges.,"The broader impact aims to facilitate the educational advancement of community college students, which is directly related to the main goals of the program."
1356440;inc_adv_uni-dir_int_ext-c,2,5,inclusive,intrinsic,The program has led to an increase in the enrollment of female and Hispanic students in the Mechanical Engineering department at UMBC.,Female and Hispanic students.,"The broader impact is focused on increasing diversity within the Mechanical Engineering department, which aligns with the program's goals."
1356440;inc_adv_uni-dir_int_ext-c,2,5,universal,direct,"The program's successful strategies such as targeted recruitment, proactive mentoring, and integration of research in education can be adopted by other institutions.",Other educational institutions and their students.,"The broader impact involves disseminating successful educational strategies to other institutions, benefiting a wider audience."
1356440;inc_adv_uni-dir_int_ext-c,2,5,universal,direct,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations and presentations to community college students and faculty, high school students, and their teachers.","Community college students and faculty, high school students, and their teachers.","The broader impact involves disseminating research findings to educational communities, which is related to the research but not its primary goal."
1356440;uni_inc_adv-int_ext_dir-a,1,4,inclusive,intrinsic,"The program provides scholarships, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, particularly women and underrepresented minorities.","The broader impact focuses on providing support to marginalized groups in STEM, making it inclusive and intrinsic to the project's goals."
1356440;uni_inc_adv-int_ext_dir-a,1,4,inclusive,direct,The cooperative relationship between UMBC and local community colleges has improved the transfer process and increased the number of students transferring to the Mechanical Engineering program.,Students transferring from local community colleges.,"The broader impact benefits students from community colleges, which is inclusive, and is directly related to the project's goals of improving student retention and success."
1356440;uni_inc_adv-int_ext_dir-a,1,4,inclusive,intrinsic,The program has increased the enrollment of female and Hispanic students in the Mechanical Engineering department at UMBC.,Female and Hispanic students.,"The broader impact is inclusive as it focuses on increasing diversity within the student population, and it is intrinsic to the project's goals of enhancing educational experiences for underrepresented groups."
1356440;uni_inc_adv-int_ext_dir-a,1,4,universal,extrinsic,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations and presentations to community college students, faculty, high school students, and teachers.","Community college students, faculty, high school students, and teachers.","The broader impact is universal as it disseminates knowledge to a wide audience, and it is extrinsic to the main research goals."
1356440;uni_inc_adv-int_ext_dir-a,2,5,inclusive,intrinsic,"The program provides scholarships, mentoring, and professional development opportunities to economically disadvantaged and academically talented students, with an emphasis on underrepresented groups, pursuing undergraduate degrees in Mechanical Engineering.","Economically disadvantaged and academically talented students, particularly women and underrepresented minorities.","The broader impact is inclusive because it focuses on marginalized groups such as economically disadvantaged students, women, and underrepresented minorities."
1356440;uni_inc_adv-int_ext_dir-a,2,5,inclusive,intrinsic,The cooperative relationship between UMBC and local community colleges has improved the transfer process and increased the number of students transferring to the four-year Mechanical Engineering program at UMBC.,Students transferring from local community colleges.,"The broader impact is inclusive because it benefits students from community colleges, who are often from underrepresented or marginalized backgrounds."
1356440;uni_inc_adv-int_ext_dir-a,2,5,inclusive,intrinsic,The program has contributed to an increase in the enrollment of female and Hispanic students in the Mechanical Engineering Department at UMBC.,Female and Hispanic students in the Mechanical Engineering Department.,"The broader impact is inclusive because it specifically benefits female and Hispanic students, who are underrepresented in the field of Mechanical Engineering."
1356440;uni_inc_adv-int_ext_dir-a,2,5,universal,direct,"The program's successful strategies such as targeted recruitment, proactive mentoring, and integration of research in education can be adopted by other institutions.",Other educational institutions and their students.,"The broader impact is universal because the successful strategies can be adopted by any institution, potentially benefiting a wide range of students."
1356440;uni_inc_adv-int_ext_dir-a,2,5,universal,extrinsic,"The NSF grant resulted in 3 peer-reviewed conference papers/abstracts/presentations and presentations to community college students and faculty, as well as high school students and their teachers.","Community college students, faculty, high school students, and their teachers.",The broader impact is universal because the dissemination of research results and presentations can benefit a broad audience.
1356747;adv_inc_uni-dir_ext_int-c,1,4,advantaged,direct,"A number of graduate and undergraduate students received training in environmental analytical chemistry, oceanography, and microbial physiology as part of this project.",Graduate and undergraduate students. This is explicitly mentioned.,Training students in specialized scientific fields directly benefits their education and career prospects.
1356747;adv_inc_uni-dir_ext_int-c,1,4,advantaged,intrinsic,"We also developed a tool that is widely applicable for targeting and characterizing organically complexed metals, metalloids, halogens, and nutrients in environmental samples.",Scientists and researchers. This is inferred from the context.,The development of a new tool primarily benefits the scientific community by advancing research capabilities.
1356747;adv_inc_uni-dir_ext_int-c,1,4,universal,extrinsic,"Results from the project have been published in peer-reviewed journals, and disseminated through presentations at scientific meetings and at venues open to the general public.",General public and scientific community. This is explicitly mentioned.,Disseminating results to both the scientific community and the general public ensures broad access to new knowledge.
1356747;adv_inc_uni-dir_ext_int-c,1,4,universal,extrinsic,"All data from the project have been deposited in publically available databases, and codes for targeted search algorithms have been likewise made publically available through github and other websites.",General public and scientific community. This is explicitly mentioned.,Making data and codes publicly available ensures that anyone can access and use the research outputs.
1356747;adv_inc_uni-dir_ext_int-c,2,5,advantaged,direct,"A number of graduate and undergraduate students received training in environmental analytical chemistry, oceanography, and microbial physiology as part of this project.",Graduate and undergraduate students. This is explicitly mentioned.,Training students is a direct broader impact as it flows directly from the research activities.
1356747;adv_inc_uni-dir_ext_int-c,2,5,advantaged,intrinsic,"We also developed a tool that is widely applicable for targeting and characterizing organically complexed metals, metalloids, halogens, and nutrients in environmental samples.",Scientists and researchers. This is inferred from the context.,"The development of a widely applicable tool benefits the scientific community, which is an advantaged group."
1356747;adv_inc_uni-dir_ext_int-c,2,5,advantaged,direct,"A number of colleagues and scientists in the US, Europe, and Asia have expressed interest in or are actively building similar systems in their laboratories.","Colleagues and scientists in the US, Europe, and Asia. This is explicitly mentioned.","The dissemination of the tool and methods to other scientists benefits the scientific community, which is an advantaged group."
1356747;adv_inc_uni-dir_ext_int-c,2,5,universal,direct,"Results from the project have been published in peer-reviewed journals, and disseminated through presentations at scientific meetings and at venues open to the general public.",General public and scientific community. This is explicitly mentioned.,Publishing results and presenting them to both the scientific community and the general public provides universal benefits.
1356747;adv_inc_uni-dir_ext_int-c,2,5,universal,direct,"All data from the project have been deposited in publicly available databases, and codes for targeted search algorithms have been likewise made publicly available through github and other websites.",General public and scientific community. This is explicitly mentioned.,"Making data and codes publicly available benefits both the scientific community and the general public, providing universal benefits."
1356747;inc_uni_adv-ext_dir_int-b,1,4,advantaged,direct,"A number of graduate and undergraduate students received training in environmental analytical chemistry, oceanography, and microbial physiology as part of this project.","Graduate and undergraduate students, explicitly mentioned.",Training students in advanced scientific techniques directly benefits their education and future career prospects.
1356747;inc_uni_adv-ext_dir_int-b,1,4,advantaged,intrinsic,"We also developed a tool that is widely applicable for targeting and characterizing organically complexed metals, metalloids, halogens, and nutrients in environmental samples.","Scientists and researchers, inferred from the context.",The development of a widely applicable tool primarily benefits scientists and researchers who can use it in their work.
1356747;inc_uni_adv-ext_dir_int-b,1,4,universal,extrinsic,"Results from the project have been published in peer-reviewed journals, and disseminated through presentations at scientific meetings and at venues open to the general public.","The general public and scientific community, explicitly mentioned.",Disseminating results through publications and presentations makes the knowledge accessible to both the scientific community and the general public.
1356747;inc_uni_adv-ext_dir_int-b,1,4,universal,extrinsic,"All data from the project have been deposited in publically available databases, and codes for targeted search algorithms have been likewise made publically available through github and other websites.","The general public and scientific community, inferred from the context.",Making data and codes publicly available ensures that anyone can access and benefit from the research findings.
1356747;inc_uni_adv-ext_dir_int-b,2,4,advantaged,direct,"A number of graduate and undergraduate students received training in environmental analytical chemistry, oceanography, and microbial physiology as part of this project.","Graduate and undergraduate students, explicitly mentioned.",The training of students is a direct broader impact as it is related to the research but not the main purpose of it.
1356747;inc_uni_adv-ext_dir_int-b,2,4,advantaged,intrinsic,"We also developed a tool that is widely applicable for targeting and characterizing organically complexed metals, metalloids, halogens, and nutrients in environmental samples.","Scientists and researchers, inferred.","The development of a widely applicable tool benefits the scientific community, which is an advantaged group."
1356747;inc_uni_adv-ext_dir_int-b,2,4,universal,extrinsic,"Results from the project have been published in peer-reviewed journals, and disseminated through presentations at scientific meetings and at venues open to the general public.","General public and scientific community, explicitly mentioned.","Dissemination of results benefits both the scientific community and the general public, making it a universal impact."
1356747;inc_uni_adv-ext_dir_int-b,2,4,universal,extrinsic,"All data from the project have been deposited in publically available databases, and codes for targeted search algorithms have been likewise made publically available through github and other websites.","General public and scientific community, explicitly mentioned.","Making data and codes publicly available benefits both the scientific community and the general public, making it a universal impact."
1356747;uni_adv_inc-ext_dir_int-a,1,5,advantaged,direct,"A number of graduate and undergraduate students received training in environmental analytical chemistry, oceanography, and microbial physiology as part of this project.","Graduate and undergraduate students, explicitly mentioned.",The training of students is a direct broader impact as it flows from the research activities.
